defect_type,days_overdue,section_load,failure_risk,urgency_score,repair_hours
Signal fault,19,0.9,0.86,100.0,4.25
Point failure,15,0.38,0.11,66.32,4.37
Signal fault,25,0.61,0.66,100.0,4.59
Rail crack,3,0.99,0.78,94.58,4.57
Signal fault,24,0.31,0.64,100.0,3.6
Signal fault,4,1.0,0.98,95.97,4.07
Point failure,5,0.63,0.15,66.67,3.62
Ballast wear,23,0.95,0.25,100.0,6.89
Rail crack,8,0.16,0.6,76.6,4.9
Rail crack,14,0.28,0.14,65.42,5.2
Ballast wear,19,0.72,0.12,76.08,6.29
Point failure,29,0.92,0.68,100.0,5.0
Ballast wear,3,0.17,0.77,60.53,6.46
Point failure,7,0.16,0.31,59.48,4.18
Signal fault,6,0.55,0.98,82.05,4.41
Rail crack,2,0.28,0.29,57.82,4.77
Rail crack,7,0.95,0.8,93.18,4.59
Overhead wear,22,0.46,0.7,100.0,5.92
Signal fault,1,0.16,0.29,44.44,2.8
Ballast wear,19,0.49,0.58,86.65,6.89
Overhead wear,29,0.12,0.84,100.0,5.65
Overhead wear,3,0.29,0.83,66.6,4.98
Ballast wear,30,0.37,0.61,100.0,7.48
Ballast wear,7,0.37,0.38,56.66,6.82
Ballast wear,24,0.74,0.35,89.67,6.85
Rail crack,15,0.59,0.99,100.0,5.42
Overhead wear,16,0.79,0.95,100.0,5.63
Overhead wear,15,0.69,0.6,94.16,5.82
Rail crack,2,0.82,0.21,59.49,4.74
Overhead wear,12,0.96,0.26,85.52,5.56
Ballast wear,13,0.68,0.31,63.46,6.9
Signal fault,5,0.22,0.87,74.78,3.78
Signal fault,12,0.47,0.91,98.38,4.65
Rail crack,5,0.44,0.82,78.63,4.74
Rail crack,26,0.86,0.82,100.0,5.14
Rail crack,30,0.3,0.89,100.0,5.35
Overhead wear,12,0.88,0.81,100.0,5.71
Point failure,0,0.6,0.28,49.8,3.49
Signal fault,12,0.95,0.65,96.32,4.18
Ballast wear,21,0.49,0.64,98.69,7.03
Overhead wear,10,0.13,0.28,58.97,4.38
Point failure,14,0.92,0.56,92.6,4.37
Point failure,29,0.6,0.49,100.0,4.85
Signal fault,10,0.5,0.31,69.85,3.28
Signal fault,29,0.73,0.65,100.0,4.65
Rail crack,25,0.71,0.61,100.0,5.44
Ballast wear,5,0.12,0.84,70.94,6.86
Signal fault,18,0.41,0.13,75.52,3.72
Signal fault,6,0.34,0.65,65.66,4.04
Ballast wear,5,0.95,0.9,79.94,7.16
Signal fault,3,0.97,0.11,62.62,3.49
Point failure,13,0.82,0.35,82.34,3.92
Point failure,0,0.18,0.99,71.57,4.3
Ballast wear,3,0.28,0.25,46.94,5.99
Overhead wear,24,0.92,0.27,100.0,5.65
Ballast wear,18,0.91,0.84,100.0,7.74
Ballast wear,22,0.9,0.91,100.0,7.57
Rail crack,21,0.27,0.27,84.31,4.28
Rail crack,19,0.21,0.76,92.72,5.26
Ballast wear,25,0.22,0.76,100.0,7.9
Ballast wear,4,0.42,0.14,40.85,6.29
Signal fault,21,0.57,0.73,100.0,3.6
Point failure,16,0.17,0.33,74.78,4.29
Overhead wear,22,0.43,0.18,76.8,5.44
Signal fault,15,0.81,0.73,100.0,4.13
Point failure,11,0.89,0.81,99.52,4.96
Overhead wear,21,0.48,0.81,100.0,5.65
Point failure,24,0.72,0.51,100.0,4.23
Rail crack,24,0.62,0.42,100.0,5.19
Signal fault,12,0.81,0.24,76.52,3.36
Overhead wear,16,0.85,0.42,89.03,5.57
Overhead wear,14,0.84,0.45,78.27,5.16
Signal fault,27,0.21,0.94,100.0,5.15
Ballast wear,14,0.53,0.47,78.06,6.5
Ballast wear,3,0.61,0.74,66.96,6.47
Signal fault,30,0.94,0.7,100.0,4.27
Point failure,2,0.46,0.85,76.25,4.6
Rail crack,6,0.33,0.2,55.12,3.8
Ballast wear,13,0.35,0.3,66.76,6.1
Point failure,15,0.14,0.48,72.54,4.43
Signal fault,30,0.96,0.3,100.0,4.35
Rail crack,15,0.46,0.78,100.0,5.18
Overhead wear,6,0.76,0.84,84.34,5.28
Ballast wear,28,0.49,0.44,98.86,7.28
Ballast wear,14,0.54,0.56,82.29,6.34
Signal fault,30,0.34,0.11,100.0,3.78
Overhead wear,21,0.84,0.5,98.86,5.24
Signal fault,12,0.99,0.12,82.2,3.78
Rail crack,17,0.21,0.94,100.0,4.92
Overhead wear,14,0.55,0.93,94.93,5.77
Rail crack,9,0.91,0.18,72.34,4.35
Rail crack,24,0.7,0.64,100.0,5.05
Signal fault,20,0.85,0.98,100.0,4.23
Ballast wear,11,0.13,0.93,77.4,6.66
Signal fault,17,0.87,0.76,100.0,3.87
Ballast wear,11,0.43,0.61,83.47,7.21
Point failure,11,0.47,0.25,67.15,3.71
Point failure,20,0.18,0.18,72.13,4.5
Ballast wear,6,0.15,0.54,48.97,6.41
Point failure,14,0.58,0.25,82.86,4.21
Signal fault,22,0.24,0.23,79.22,3.44
Ballast wear,4,0.84,0.63,74.37,6.45
Signal fault,29,0.98,0.41,100.0,3.87
Rail crack,6,0.2,0.68,74.72,4.83
Point failure,8,0.59,0.2,65.71,3.79
Signal fault,4,0.17,0.13,46.13,2.34
Point failure,18,0.25,0.42,84.27,4.86
Signal fault,30,0.52,0.66,100.0,3.86
Point failure,23,0.61,0.87,100.0,5.05
Overhead wear,3,0.64,0.57,65.37,4.55
Signal fault,27,0.28,0.69,100.0,4.55
Ballast wear,23,0.56,0.15,79.77,6.73
Signal fault,12,0.22,0.24,67.13,3.54
Rail crack,12,0.7,0.69,97.8,4.53
Overhead wear,21,0.21,0.73,97.02,5.34
Point failure,7,0.21,0.13,58.13,3.96
Point failure,6,0.67,0.48,67.88,4.12
Signal fault,1,0.7,0.97,86.24,4.39
Overhead wear,9,0.59,0.86,87.15,5.36
Ballast wear,11,0.24,0.87,72.68,7.29
Overhead wear,3,0.65,0.62,71.47,4.84
Signal fault,4,0.7,0.67,73.7,3.67
Point failure,15,0.91,0.85,100.0,3.67
Overhead wear,12,0.9,0.68,87.36,5.09
Signal fault,0,0.11,0.39,41.24,3.37
Overhead wear,26,0.84,0.91,100.0,6.08
Ballast wear,12,0.99,0.3,74.15,5.88
Point failure,22,0.17,0.85,100.0,4.94
Ballast wear,15,1.0,0.62,90.45,7.25
Rail crack,16,0.54,0.87,100.0,5.41
Rail crack,2,0.76,0.7,79.06,4.32
Point failure,8,0.82,0.48,82.32,4.45
Rail crack,21,0.38,0.54,96.76,5.27
Point failure,7,0.97,0.2,81.22,3.68
Point failure,8,0.18,0.15,56.03,3.59
Signal fault,25,0.37,0.94,100.0,4.56
Point failure,5,0.69,0.24,63.35,3.97
Point failure,21,0.9,0.17,97.79,4.49
Point failure,10,0.95,0.58,90.58,4.32
Overhead wear,24,0.85,0.37,100.0,5.62
Rail crack,6,0.51,0.47,73.32,4.26
Rail crack,25,0.83,0.52,100.0,4.95
Signal fault,15,0.2,0.95,93.7,4.53
Rail crack,18,0.1,0.65,88.91,5.73
Ballast wear,5,0.51,0.47,57.05,6.65
Rail crack,8,0.26,0.34,62.51,4.53
Signal fault,19,0.37,0.25,79.54,3.79
Point failure,10,0.73,0.29,74.26,3.91
Overhead wear,2,0.2,0.33,48.24,4.27
Signal fault,26,0.63,0.23,100.0,4.01
Point failure,4,0.17,0.95,77.87,4.83
Point failure,29,0.17,0.53,100.0,4.92
Ballast wear,25,0.35,0.95,100.0,6.75
Overhead wear,29,0.71,0.53,100.0,5.67
Ballast wear,19,0.12,0.2,66.72,6.65
Ballast wear,11,0.78,0.91,89.55,7.2
Signal fault,3,0.28,0.34,49.84,3.36
Ballast wear,11,0.94,0.52,79.59,6.74
Signal fault,15,0.88,0.25,82.42,3.64
Rail crack,8,0.12,0.84,83.2,5.08
Overhead wear,26,0.3,0.7,100.0,5.6
Signal fault,18,0.77,0.32,82.34,4.22
Overhead wear,28,0.53,0.44,100.0,5.75
Point failure,18,0.16,0.16,79.98,4.74
Rail crack,27,0.33,0.2,86.6,5.38
Ballast wear,10,0.63,0.51,75.3,6.68
Rail crack,16,0.82,0.78,100.0,5.25
Signal fault,5,0.72,0.95,85.31,3.61
Point failure,17,0.71,0.25,84.91,4.08
Rail crack,7,0.69,0.62,85.22,4.72
Overhead wear,12,0.25,0.15,54.8,5.13
Ballast wear,22,0.2,0.4,80.31,7.41
Rail crack,22,0.8,0.99,100.0,5.35
Overhead wear,11,0.54,0.67,84.76,5.8
Signal fault,17,0.83,0.35,86.36,4.21
Point failure,26,0.16,0.26,88.9,5.11
Overhead wear,29,0.57,1.0,100.0,5.92
Point failure,12,0.22,0.24,64.07,3.7
Signal fault,10,0.48,0.42,78.29,4.19
Rail crack,20,0.52,0.6,96.81,5.18
Signal fault,14,0.12,0.42,73.62,4.19
Signal fault,8,0.77,0.47,76.49,3.19
Overhead wear,12,0.5,0.39,69.54,5.34
Ballast wear,17,0.47,0.92,94.94,7.19
Signal fault,13,0.19,0.22,62.21,3.6
Signal fault,17,0.74,0.43,89.0,3.69
Rail crack,3,0.35,0.55,67.56,4.24
Ballast wear,28,0.83,0.49,100.0,7.29
Rail crack,9,0.26,0.34,65.78,4.32
Ballast wear,24,0.6,0.63,100.0,6.86
Signal fault,6,0.75,0.8,86.24,4.32
Point failure,28,0.83,0.11,100.0,4.78
Rail crack,25,0.94,0.12,100.0,4.4
Ballast wear,14,0.71,0.94,98.9,7.06
Rail crack,29,0.33,0.3,100.0,5.11
Ballast wear,27,0.78,0.78,100.0,6.93
Overhead wear,22,0.45,0.44,90.22,5.24
Rail crack,12,0.7,0.76,91.71,5.07
Signal fault,25,0.23,0.29,93.89,3.56
Signal fault,27,0.34,0.28,95.64,4.06
Point failure,14,0.78,0.91,100.0,4.76
Point failure,6,0.12,0.81,72.48,4.47
Signal fault,7,0.17,0.64,80.08,3.45
Overhead wear,12,0.88,0.81,97.3,5.44
Ballast wear,22,0.87,0.4,95.61,6.86
Signal fault,25,0.32,0.38,94.64,4.01
Overhead wear,21,0.7,0.78,100.0,5.63
Rail crack,12,0.73,0.77,93.58,5.22
Signal fault,2,0.25,0.15,43.04,3.72
Point failure,22,0.25,0.85,100.0,4.9
Point failure,4,0.56,0.64,77.9,4.09
Signal fault,19,0.94,0.46,100.0,3.85
Overhead wear,30,0.23,0.37,100.0,5.39
Ballast wear,14,0.16,0.41,65.21,6.9
Signal fault,29,0.95,0.37,100.0,4.57
Point failure,16,0.3,0.15,72.81,3.6
Overhead wear,1,0.25,0.52,50.32,4.91
Signal fault,21,0.53,0.51,96.61,4.37
Point failure,20,0.47,0.84,100.0,4.89
Ballast wear,22,0.78,0.56,100.0,6.61
Rail crack,4,0.33,0.1,56.75,3.62
Rail crack,4,0.88,0.19,69.23,5.14
Ballast wear,22,0.78,0.76,100.0,7.46
Rail crack,0,0.21,0.56,53.87,4.0
Rail crack,27,0.31,0.77,100.0,5.18
Rail crack,12,0.17,0.51,81.33,5.1
Overhead wear,9,0.89,0.8,89.62,5.42
Ballast wear,25,0.13,0.83,100.0,6.86
Ballast wear,0,0.9,0.46,56.44,6.56
Ballast wear,13,0.87,0.39,73.09,6.75
Rail crack,22,0.3,0.43,97.19,4.99
Overhead wear,18,0.4,0.2,71.17,4.88
Rail crack,14,0.8,0.21,79.99,4.68
Point failure,1,0.92,0.27,62.37,4.14
Overhead wear,0,0.96,0.32,57.59,4.82
Overhead wear,21,0.11,0.56,86.94,5.64
Point failure,14,0.89,0.96,100.0,5.16
Signal fault,1,0.25,0.38,55.88,3.34
Rail crack,19,0.7,0.21,95.81,4.61
Overhead wear,0,0.14,0.35,41.52,4.74
Overhead wear,22,0.45,0.95,100.0,5.76
Rail crack,15,0.98,0.44,94.32,5.15
Signal fault,22,0.67,0.51,100.0,4.13
Ballast wear,30,0.83,0.16,95.2,6.7
Ballast wear,6,0.84,0.72,70.52,6.85
Rail crack,9,0.97,0.69,97.64,4.85
Rail crack,14,0.78,0.74,100.0,4.6
Ballast wear,1,0.44,0.57,49.29,6.37
Point failure,21,0.17,0.62,96.7,4.84
Signal fault,20,0.45,0.17,79.14,3.5
Rail crack,23,0.92,0.11,94.4,4.76
Rail crack,3,0.93,0.25,69.03,4.79
Overhead wear,23,0.17,0.89,100.0,6.22
Overhead wear,17,0.28,0.9,100.0,5.75
Signal fault,11,0.14,0.33,58.02,3.54
Signal fault,25,0.93,0.48,100.0,4.1
Ballast wear,20,0.27,0.93,90.71,7.49
Point failure,16,0.38,0.75,96.68,4.72
Point failure,3,0.95,0.66,82.64,4.3
Overhead wear,21,0.46,0.15,86.93,4.97
Ballast wear,7,0.77,0.42,62.16,6.69
Rail crack,13,0.59,0.28,84.04,4.36
Overhead wear,19,0.29,0.97,98.41,5.07
Point failure,25,0.57,0.74,100.0,4.36
Ballast wear,20,0.29,0.1,72.31,6.32
Point failure,1,0.24,0.76,71.27,4.34
Ballast wear,3,0.48,0.38,52.41,6.61
Overhead wear,3,0.21,0.4,53.12,5.28
Signal fault,7,0.53,0.87,87.06,3.8
Signal fault,4,0.8,0.86,82.18,3.42
Ballast wear,4,0.74,0.58,61.63,6.74
Rail crack,25,0.14,0.39,100.0,5.12
Overhead wear,2,0.38,0.34,47.31,5.01
Ballast wear,8,0.84,0.19,64.17,6.56
Rail crack,11,0.15,0.26,71.03,4.84
Rail crack,3,0.62,0.21,61.61,4.07
Overhead wear,18,0.54,0.12,73.22,4.69
Ballast wear,10,0.22,0.76,70.64,7.14
Point failure,28,0.45,0.56,100.0,4.97
Overhead wear,11,0.41,0.94,88.92,5.83
Rail crack,25,0.76,0.13,91.44,4.76
Ballast wear,5,0.6,0.77,68.5,6.76
Overhead wear,23,0.26,0.35,80.73,4.68
Ballast wear,23,0.78,0.51,100.0,6.94
Ballast wear,9,0.62,0.21,59.63,6.26
Overhead wear,1,0.34,0.48,53.16,4.75
Ballast wear,28,0.61,0.4,97.89,7.06
Point failure,20,0.19,0.79,100.0,5.04
Rail crack,3,0.86,0.72,79.13,4.47
Signal fault,21,0.25,0.19,75.65,3.72
Ballast wear,24,0.59,0.25,87.02,6.79
Signal fault,25,0.56,0.19,94.29,3.97
Point failure,27,0.58,0.87,100.0,4.91
Point failure,15,0.13,0.77,86.7,4.69
Overhead wear,4,0.27,0.75,63.19,4.88
Ballast wear,23,0.92,0.78,100.0,7.63
Point failure,20,0.44,0.29,88.21,4.37
Overhead wear,20,0.52,0.23,81.29,5.18
Overhead wear,30,0.48,0.61,100.0,5.82
Rail crack,27,0.55,0.46,100.0,5.63
Signal fault,4,0.98,0.27,63.74,2.47
Ballast wear,13,0.19,0.49,63.35,6.95
Rail crack,7,0.93,1.0,97.75,4.52
Signal fault,9,0.37,0.98,93.3,4.32
Rail crack,22,0.44,0.82,100.0,5.26
Ballast wear,10,0.95,0.3,76.08,6.31
Point failure,28,0.65,0.5,100.0,4.96
Point failure,19,0.37,0.53,90.33,4.18
Signal fault,26,0.88,0.62,100.0,4.1
Point failure,16,0.35,0.63,90.33,4.46
Signal fault,10,0.55,0.92,93.68,4.53
Overhead wear,14,0.5,0.94,95.21,5.11
Signal fault,21,0.72,0.88,100.0,4.45
Ballast wear,22,0.24,0.16,71.82,7.07
Overhead wear,14,0.55,0.86,99.08,6.08
Point failure,3,0.74,0.98,85.72,4.17
Ballast wear,4,0.11,0.51,49.7,6.48
Ballast wear,9,0.33,0.42,62.28,7.17
Rail crack,27,0.97,0.67,100.0,5.37
Rail crack,4,0.12,0.27,56.75,4.3
Signal fault,30,0.36,0.61,100.0,4.12
Overhead wear,10,0.58,0.53,79.72,5.15
Rail crack,6,0.4,0.65,64.52,4.87
Rail crack,27,0.34,0.53,100.0,5.2
Signal fault,0,1.0,0.15,52.07,3.16
Signal fault,24,0.5,0.56,99.37,3.83
Overhead wear,1,0.37,0.97,70.51,5.44
Overhead wear,16,0.92,0.11,79.23,5.24
Rail crack,26,0.33,0.5,100.0,5.45
Ballast wear,20,0.96,0.31,89.74,6.8
Overhead wear,17,0.18,0.7,87.41,4.94
Signal fault,18,0.4,0.73,98.31,3.9
Ballast wear,14,0.23,0.27,63.47,6.23
Signal fault,27,0.88,0.23,100.0,4.05
Ballast wear,6,0.45,0.22,53.65,5.88
Rail crack,13,0.21,0.64,88.21,5.77
Point failure,6,0.97,0.5,80.86,3.48
Point failure,28,0.15,0.14,84.01,4.09
Rail crack,30,0.54,0.39,100.0,4.92
Point failure,6,0.47,0.5,70.86,4.09
Point failure,6,0.71,0.74,79.78,4.33
Ballast wear,5,0.54,0.99,75.57,6.48
Ballast wear,4,0.51,0.3,56.73,5.9
Ballast wear,3,0.18,0.74,62.54,6.44
Ballast wear,8,0.3,0.43,60.62,6.56
Signal fault,2,0.82,0.32,60.41,3.18
Point failure,24,0.8,0.87,100.0,5.22
Rail crack,3,0.38,0.15,46.37,3.94
Signal fault,26,0.79,0.37,100.0,4.35
Ballast wear,11,0.75,0.72,88.34,7.39
Ballast wear,0,0.46,0.49,50.87,5.88
Overhead wear,23,0.59,0.74,100.0,5.77
Overhead wear,6,0.37,0.94,80.48,5.18
Ballast wear,17,0.5,0.6,83.97,6.44
Overhead wear,22,0.2,0.8,100.0,6.0
Rail crack,14,0.68,0.85,100.0,5.39
Ballast wear,14,0.33,0.84,77.61,7.09
Ballast wear,26,0.72,0.82,100.0,8.05
Signal fault,4,0.68,0.88,83.3,4.16
Signal fault,29,0.2,0.14,88.67,3.86
Overhead wear,26,0.45,0.95,100.0,6.15
Ballast wear,15,0.2,0.76,84.96,6.65
Signal fault,6,1.0,0.34,73.98,3.4
Rail crack,5,0.73,0.75,86.8,5.07
Rail crack,30,0.22,0.69,100.0,5.43
Signal fault,1,0.84,0.73,71.48,3.6
Ballast wear,1,0.52,0.94,63.54,7.09
Overhead wear,16,0.4,0.92,99.29,5.93
Ballast wear,5,0.38,0.15,51.0,5.91
Rail crack,15,0.64,0.88,100.0,5.44
Signal fault,20,0.88,0.76,100.0,4.22
Rail crack,10,0.42,0.5,74.12,5.07
Signal fault,21,0.84,0.78,100.0,4.03
Rail crack,14,0.72,0.78,100.0,5.16
Overhead wear,21,0.46,0.95,100.0,5.81
Point failure,15,0.62,0.84,96.17,4.22
Signal fault,23,0.97,0.5,100.0,3.94
Overhead wear,4,0.9,0.72,82.34,4.87
Ballast wear,24,0.78,0.66,100.0,7.0
Rail crack,21,0.4,0.64,100.0,4.93
Ballast wear,25,0.69,0.83,100.0,8.03
Point failure,0,0.12,0.49,54.07,3.7
Signal fault,23,0.31,0.54,98.18,3.95
Point failure,3,0.92,0.23,58.9,3.98
Rail crack,1,0.63,0.78,74.67,4.1
Signal fault,12,0.99,0.36,80.16,3.24
Signal fault,6,0.92,0.34,73.86,3.53
Point failure,19,0.51,0.95,100.0,5.15
Signal fault,15,0.84,0.4,89.93,4.58
Signal fault,0,0.2,0.48,57.55,3.28
Overhead wear,20,0.59,0.18,79.58,5.1
Rail crack,17,0.58,0.71,100.0,5.52
Overhead wear,21,0.25,0.49,83.36,5.53
Rail crack,4,0.27,0.11,59.23,4.1
Ballast wear,6,0.22,0.9,67.09,6.68
Signal fault,4,0.84,0.5,65.46,3.5
Point failure,2,0.62,0.19,57.4,3.69
Overhead wear,12,0.32,0.66,83.35,5.37
Rail crack,28,0.67,0.75,100.0,5.15
Overhead wear,14,0.44,0.66,86.21,5.36
Signal fault,13,0.98,0.88,100.0,4.14
Point failure,25,0.11,0.82,100.0,4.68
Rail crack,27,0.31,0.18,98.58,5.34
Overhead wear,30,0.41,0.16,96.44,6.05
Ballast wear,11,0.8,0.28,67.96,6.48
Ballast wear,29,0.48,0.56,100.0,7.4
Signal fault,22,0.15,0.12,78.42,3.48
Point failure,14,0.94,0.55,94.5,4.72
Point failure,9,0.76,0.26,77.96,3.56
Signal fault,12,0.13,0.67,76.08,4.17
Point failure,25,0.9,0.83,100.0,5.16
Ballast wear,25,0.24,0.66,97.18,7.21
Overhead wear,26,0.5,0.41,100.0,5.27
Ballast wear,24,0.96,0.27,99.61,7.31
Signal fault,14,0.12,0.72,83.42,4.15
Signal fault,29,0.57,0.28,100.0,4.35
Rail crack,18,0.89,0.34,96.94,4.86
Point failure,7,0.31,0.67,73.02,4.61
Overhead wear,27,0.7,0.5,100.0,5.69
Ballast wear,15,0.73,0.56,80.94,6.85
Ballast wear,16,0.88,0.91,100.0,7.65
Rail crack,22,0.3,0.33,91.59,5.3
Ballast wear,6,0.94,0.67,76.64,7.0
